Module Entrys: 8759             Audit Entrys: 3462            
Pid: 11093            Module: fstat            Audit: 13
Pid: 11093            Module: fcntl            Audit: 13
Pid: 11093            Module: fcntl            Audit: 13
Pid: 11093            Module: fcntl            Audit: 13
Pid: 11093            Module: fcntl            Audit: 13
Pid: 11093            Module: fcntl            Audit: 38
Pid: 11093            Module: close            Audit: 13
Pid: 11093            Module: setitimer'       Audit: 14
Pid: 11093            Module: setitimer'       Audit: 79
Pid: 23750            Module: clone            Audit: 59
Pid: 23750            Module: execve           Audit: 12
Pid: 23750            Module: brk              Audit: 21
Pid: 23750            Module: access           Audit: 21
Pid: 23750            Module: access           Audit: 257
Pid: 23750            Module: openat           Audit: 5
Pid: 23750            Module: fstat            Audit: 9
Pid: 23750            Module: mmap             Audit: 3
Pid: 23750            Module: close            Audit: 21
Pid: 23750            Module: access           Audit: 257
Pid: 23750            Module: openat           Audit: 0
Pid: 23750            Module: read             Audit: 5
Pid: 23750            Module: fstat            Audit: 9
Pid: 23750            Module: mmap             Audit: 9
Pid: 23750            Module: mmap             Audit: 10
Pid: 23750            Module: mprotect'        Audit: 9
Pid: 23750            Module: mmap             Audit: 3
Pid: 23750            Module: close            Audit: 21
Pid: 23750            Module: access           Audit: 257
Pid: 23750            Module: openat           Audit: 0
Pid: 23750            Module: read             Audit: 5
Pid: 23750            Module: fstat            Audit: 9
Pid: 23750            Module: mmap             Audit: 10
Pid: 23750            Module: mprotect'        Audit: 9
Pid: 23750            Module: mmap             Audit: 9
Pid: 23750            Module: mmap             Audit: 3
Pid: 23750            Module: close            Audit: 9
Pid: 23750            Module: mmap             Audit: 158
Pid: 23750            Module: arch_prctl'      Audit: 10
Pid: 23750            Module: mprotect'        Audit: 10
Pid: 23750            Module: mprotect'        Audit: 10
Pid: 23750            Module: mprotect'        Audit: NOT_FILTERED
Pid: 23750            Module: mprotect'        Audit: NOT_FILTERED
Pid: 23750            Module: munmap           Audit: NOT_FILTERED
Pid: 23750            Module: rt_sigaction'    Audit: NOT_FILTERED
Pid: 23750            Module: rt_sigaction'    Audit: NOT_FILTERED
Pid: 23750            Module: brk              Audit: NOT_FILTERED
Pid: 23750            Module: brk              Audit: NOT_FILTERED
Pid: 23750            Module: write            Audit: NOT_FILTERED
Pid: 11093            Module: select           Audit: 6
Pid: 11093            Module: read             Audit: 39
Pid: 10167            Module: futex            Audit: 47
Pid: 10167            Module: futex            Audit: 1
Pid: 10167            Module: futex            Audit: 47
Pid: 10167            Module: futex            Audit: 1
Pid: 10167            Module: futex            Audit: 232
Pid: 10167            Module: futex            Audit: 0
Pid: 10167            Module: epoll_wait'      Audit: 46
Pid: 10167            Module: read             Audit: 232
Pid: 10167            Module: sendmsg'         Audit: 47
Pid: 10167            Module: write            Audit: 47
Pid: 10167            Module: futex            Audit: 1
Pid: 11052            Module: epoll_wait'      Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 1
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 0
Pid: 10167            Module: futex            Audit: 7
Pid: 10167            Module: futex            Audit: 0
Pid: 10167            Module: futex            Audit: 1
Pid: 10167            Module: futex            Audit: 7
Pid: 10167            Module: futex            Audit: 0
Pid: 10167            Module: futex            Audit: 7
Pid: 10167            Module: futex            Audit: 1
Pid: 10167            Module: write            Audit: 7
Pid: 10167            Module: epoll_wait'      Audit: 0
Pid: 10167            Module: read             Audit: 7
Pid: 10167            Module: sendmsg'         Audit: 7
Pid: 11052            Module: epoll_wait'      Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 7
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 232
Pid: 23751            Module: clone            Audit: 3
Pid: 23751            Module: set_robust_list' Audit: 3
Pid: 23751            Module: close            Audit: 59
Pid: 23751            Module: dup2             Audit: 257
Pid: 23751            Module: close            Audit: 9
Pid: 23751            Module: close            Audit: 9
Pid: 23751            Module: dup2             Audit: 10
Pid: 23751            Module: close            Audit: 10
Pid: 23749            Module: wait4            Audit: 12
Pid: 23749            Module: 4294967295       Audit: 21
Pid: 11052            Module: poll             Audit: 47
Pid: 11052            Module: read             Audit: 1
Pid: 11052            Module: write            Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 10623            Module: futex            Audit: 208
Pid: 10623            Module: futex            Audit: 208
Pid: 11093            Module: setitimer'       Audit: 257
Pid: 11093            Module: setitimer'       Audit: 1
Pid: 11093            Module: select           Audit: 3
Pid: 11093            Module: read             Audit: 79
Pid: 11093            Module: read             Audit: 80
Pid: 11093            Module: close            Audit: 38
Pid: 11093            Module: close            Audit: 72
Pid: 11093            Module: wait4            Audit: 6
Pid: 11093            Module: pipe             Audit: 6
Pid: 11093            Module: pipe             Audit: 6
Pid: 11093            Module: pipe             Audit: 6
Pid: 11093            Module: clone            Audit: 6
Pid: 11093            Module: close            Audit: 6
Pid: 11093            Module: fstat            Audit: 6
Pid: 11093            Module: fcntl            Audit: 6
Pid: 11093            Module: close            Audit: 6
Pid: 11093            Module: fstat            Audit: 4
Pid: 11093            Module: fcntl            Audit: 21
Pid: 11093            Module: close            Audit: 79
Pid: 11093            Module: fstat            Audit: 79
Pid: 11093            Module: fcntl            Audit: 6
Pid: 11093            Module: fcntl            Audit: 4
Pid: 11093            Module: fcntl            Audit: 4
Pid: 11093            Module: fcntl            Audit: 4
Pid: 11093            Module: fcntl            Audit: 4
Pid: 11093            Module: close            Audit: 4
Pid: 11093            Module: setitimer'       Audit: 318
Pid: 11093            Module: setitimer'       Audit: 4
Pid: 23751            Module: close            Audit: 13
Pid: 10167            Module: futex            Audit: 7
Pid: 10167            Module: futex            Audit: 202
Pid: 10623            Module: io_getevents'    Audit: 208
Pid: 10623            Module: futex            Audit: 208
Pid: 10623            Module: futex            Audit: 202
Pid: 23751            Module: execve           Audit: 72
Pid: 23751            Module: brk              Audit: 22
Pid: 23751            Module: access           Audit: 12
Pid: 23751            Module: access           Audit: NOT_FILTERED
Pid: 23751            Module: openat           Audit: NOT_FILTERED
Pid: 23751            Module: fstat            Audit: NOT_FILTERED
Pid: 23751            Module: mmap             Audit: NOT_FILTERED
Pid: 23751            Module: close            Audit: NOT_FILTERED
Pid: 23751            Module: access           Audit: NOT_FILTERED
Pid: 23751            Module: openat           Audit: NOT_FILTERED
Pid: 23751            Module: read             Audit: NOT_FILTERED
Pid: 23751            Module: fstat            Audit: NOT_FILTERED
Pid: 23751            Module: mmap             Audit: NOT_FILTERED
Pid: 23751            Module: mmap             Audit: NOT_FILTERED
Pid: 23751            Module: mprotect'        Audit: NOT_FILTERED
Pid: 23751            Module: mmap             Audit: NOT_FILTERED
Pid: 23751            Module: mmap             Audit: NOT_FILTERED
Pid: 23751            Module: close            Audit: NOT_FILTERED
Pid: 23751            Module: arch_prctl'      Audit: NOT_FILTERED
Pid: 23751            Module: mprotect'        Audit: NOT_FILTERED
Pid: 23751            Module: mprotect'        Audit: NOT_FILTERED
Pid: 23751            Module: mprotect'        Audit: NOT_FILTERED
Pid: 23751            Module: munmap           Audit: NOT_FILTERED
Pid: 23751            Module: close            Audit: NOT_FILTERED
Pid: 23751            Module: dup2             Audit: NOT_FILTERED
Pid: 10623            Module: io_getevents'    Audit: 208
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: epoll_wait'      Audit: 202
Pid: 10623            Module: futex            Audit: 202
Pid: 10623            Module: futex            Audit: 208
Pid: 10167            Module: read             Audit: 232
Pid: 10167            Module: sendmsg'         Audit: 0
Pid: 11052            Module: epoll_wait'      Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 7
Pid: 10125            Module: select           Audit: 288
Pid: 10125            Module: wait4            Audit: 72
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 232
Pid: 11052            Module: poll             Audit: 47
Pid: 11052            Module: read             Audit: 1
Pid: 11052            Module: write            Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 10167            Module: write            Audit: 46
Pid: 10688            Module: select           Audit: 23
Pid: 10688            Module: wait4            Audit: 23
Pid: 10688            Module: times            Audit: NOT_FILTERED
Pid: 10623            Module: io_getevents'    Audit: 208
Pid: 10623            Module: io_getevents'    Audit: 208
Pid: 10623            Module: io_getevents'    Audit: 202
Pid: 10623            Module: io_getevents'    Audit: 208
Pid: 23751            Module: getuid           Audit: NOT_FILTERED
Pid: 23751            Module: getgid           Audit: NOT_FILTERED
Pid: 23751            Module: getpid           Audit: NOT_FILTERED
Pid: 23751            Module: rt_sigaction'    Audit: NOT_FILTERED
Pid: 23751            Module: geteuid'         Audit: NOT_FILTERED
Pid: 23751            Module: brk              Audit: NOT_FILTERED
Pid: 23751            Module: brk              Audit: NOT_FILTERED
Pid: 23751            Module: getppid'         Audit: NOT_FILTERED
Pid: 23751            Module: stat             Audit: NOT_FILTERED
Pid: 10167            Module: futex            Audit: 232
Pid: 10167            Module: futex            Audit: 47
Pid: 10167            Module: write            Audit: 1
Pid: 23751            Module: stat             Audit: NOT_FILTERED
Pid: 23751            Module: getcwd           Audit: NOT_FILTERED
Pid: 23751            Module: geteuid'         Audit: NOT_FILTERED
Pid: 10167            Module: futex            Audit: 47
Pid: 10167            Module: futex            Audit: 1
Pid: 10167            Module: futex            Audit: 7
Pid: 10167            Module: epoll_wait'      Audit: 0
Pid: 10167            Module: read             Audit: 1
Pid: 10167            Module: sendmsg'         Audit: 7
Pid: 11052            Module: epoll_wait'      Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 7
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 202
Pid: 11052            Module: poll             Audit: 232
Pid: 11052            Module: read             Audit: 47
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 47
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 23752            Module: clone            Audit: 59
Pid: 23752            Module: execve           Audit: 257
Pid: 23752            Module: brk              Audit: 9
Pid: 23752            Module: access           Audit: 9
Pid: 23752            Module: access           Audit: 10
Pid: 23752            Module: openat           Audit: 10
Pid: 23752            Module: fstat            Audit: 13
Pid: 23752            Module: mmap             Audit: 72
Pid: 23752            Module: close            Audit: 22
Pid: 23752            Module: access           Audit: 12
Pid: 23752            Module: openat           Audit: NOT_FILTERED
Pid: 23752            Module: read             Audit: NOT_FILTERED
Pid: 23752            Module: fstat            Audit: NOT_FILTERED
Pid: 23752            Module: mmap             Audit: NOT_FILTERED
Pid: 23752            Module: mmap             Audit: NOT_FILTERED
Pid: 23752            Module: mprotect'        Audit: NOT_FILTERED
Pid: 23752            Module: mmap             Audit: NOT_FILTERED
Pid: 23752            Module: close            Audit: NOT_FILTERED
Pid: 23752            Module: access           Audit: NOT_FILTERED
Pid: 23752            Module: openat           Audit: NOT_FILTERED
Pid: 23752            Module: read             Audit: NOT_FILTERED
Pid: 23752            Module: fstat            Audit: NOT_FILTERED
Pid: 23752            Module: mmap             Audit: NOT_FILTERED
Pid: 23752            Module: mprotect'        Audit: NOT_FILTERED
Pid: 23752            Module: mmap             Audit: NOT_FILTERED
Pid: 23752            Module: mmap             Audit: NOT_FILTERED
Pid: 23752            Module: close            Audit: NOT_FILTERED
Pid: 23751            Module: getegid'         Audit: NOT_FILTERED
Pid: 23751            Module: rt_sigaction'    Audit: NOT_FILTERED
Pid: 23751            Module: rt_sigaction'    Audit: NOT_FILTERED
Pid: 23751            Module: rt_sigaction'    Audit: NOT_FILTERED
Pid: 23751            Module: rt_sigaction'    Audit: NOT_FILTERED
Pid: 23751            Module: rt_sigaction'    Audit: NOT_FILTERED
Pid: 23751            Module: rt_sigaction'    Audit: NOT_FILTERED
Pid: 23751            Module: stat             Audit: NOT_FILTERED
Pid: 23751            Module: stat             Audit: NOT_FILTERED
Pid: 23751            Module: stat             Audit: NOT_FILTERED
Pid: 23751            Module: stat             Audit: NOT_FILTERED
Pid: 23751            Module: clone            Audit: NOT_FILTERED
Pid: 25812            Module: sched_yield'     Audit: NOT_FILTERED
Pid: 10623            Module: io_getevents'    Audit: 208
Pid: 10623            Module: io_getevents'    Audit: 208
Pid: 10623            Module: io_getevents'    Audit: 208
Pid: 10167            Module: futex            Audit: 0
Pid: 10167            Module: futex            Audit: 7
Pid: 10167            Module: futex            Audit: 1
Pid: 10167            Module: epoll_wait'      Audit: 7
Pid: 10167            Module: read             Audit: 0
Pid: 10167            Module: sendmsg'         Audit: 7
Pid: 11052            Module: epoll_wait'      Audit: 0
Pid: 11052            Module: recvmsg'         Audit: 7
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 7
Pid: 23752            Module: close            Audit: NOT_FILTERED
Pid: 23752            Module: mmap             Audit: NOT_FILTERED
Pid: 23752            Module: arch_prctl'      Audit: NOT_FILTERED
Pid: 23752            Module: mprotect'        Audit: NOT_FILTERED
Pid: 23752            Module: mprotect'        Audit: NOT_FILTERED
Pid: 23752            Module: mprotect'        Audit: NOT_FILTERED
Pid: 23752            Module: mprotect'        Audit: NOT_FILTERED
Pid: 23752            Module: mprotect'        Audit: NOT_FILTERED
Pid: 23752            Module: mprotect'        Audit: NOT_FILTERED
Pid: 23752            Module: munmap           Audit: NOT_FILTERED
Pid: 23752            Module: set_tid_address' Audit: NOT_FILTERED
Pid: 23752            Module: set_robust_list' Audit: NOT_FILTERED
Pid: 23752            Module: rt_sigaction'    Audit: NOT_FILTERED
Pid: 23752            Module: rt_sigaction'    Audit: NOT_FILTERED
Pid: 23752            Module: rt_sigprocmask'  Audit: NOT_FILTERED
Pid: 23752            Module: prlimit64'       Audit: NOT_FILTERED
Pid: 23752            Module: fcntl            Audit: NOT_FILTERED
Pid: 23752            Module: fcntl            Audit: NOT_FILTERED
Pid: 23752            Module: fcntl            Audit: NOT_FILTERED
Pid: 23752            Module: geteuid'         Audit: NOT_FILTERED
Pid: 23752            Module: pipe             Audit: NOT_FILTERED
Pid: 23752            Module: fcntl            Audit: NOT_FILTERED
Pid: 23752            Module: fcntl            Audit: NOT_FILTERED
Pid: 23752            Module: fcntl            Audit: NOT_FILTERED
Pid: 23752            Module: fcntl            Audit: NOT_FILTERED
Pid: 23752            Module: brk              Audit: NOT_FILTERED
Pid: 23752            Module: brk              Audit: NOT_FILTERED
Pid: 23752            Module: access           Audit: NOT_FILTERED
Pid: 23752            Module: openat           Audit: NOT_FILTERED
Pid: 23752            Module: read             Audit: NOT_FILTERED
Pid: 23752            Module: fstat            Audit: NOT_FILTERED
Pid: 23752            Module: mmap             Audit: NOT_FILTERED
Pid: 23752            Module: mprotect'        Audit: NOT_FILTERED
Pid: 23752            Module: mmap             Audit: NOT_FILTERED
Pid: 23752            Module: mmap             Audit: NOT_FILTERED
Pid: 23752            Module: close            Audit: NOT_FILTERED
Pid: 23752            Module: access           Audit: NOT_FILTERED
Pid: 23752            Module: openat           Audit: NOT_FILTERED
Pid: 23752            Module: read             Audit: NOT_FILTERED
Pid: 23752            Module: fstat            Audit: NOT_FILTERED
Pid: 23752            Module: mmap             Audit: NOT_FILTERED
Pid: 23752            Module: mprotect'        Audit: NOT_FILTERED
Pid: 23752            Module: mmap             Audit: NOT_FILTERED
Pid: 11052            Module: poll             Audit: 232
Pid: 11052            Module: read             Audit: 47
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 202
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 47
Pid: 11052            Module: read             Audit: 202
Pid: 11052            Module: poll             Audit: 202
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 10167            Module: futex            Audit: 7
Pid: 10167            Module: futex            Audit: 7
Pid: 10167            Module: write            Audit: 202
Pid: 11764            Module: poll             Audit: NOT_FILTERED
Pid: 11093            Module: select           Audit: 257
Pid: 11093            Module: read             Audit: 5
Pid: 11093            Module: setitimer'       Audit: 102
Pid: 11093            Module: setitimer'       Audit: 73
Pid: 23751            Module: wait4            Audit: NOT_FILTERED
Pid: 23751            Module: 4294967295       Audit: NOT_FILTERED
Pid: 11093            Module: select           Audit: 72
Pid: 23752            Module: ioctl            Audit: NOT_FILTERED
Pid: 23752            Module: rt_sigaction'    Audit: NOT_FILTERED
Pid: 23752            Module: rt_sigaction'    Audit: NOT_FILTERED
Pid: 23752            Module: sysinfo'         Audit: NOT_FILTERED
Pid: 23752            Module: fstat            Audit: NOT_FILTERED
Pid: 23752            Module: write            Audit: NOT_FILTERED
Pid: 23752            Module: close            Audit: NOT_FILTERED
Pid: 23752            Module: close            Audit: NOT_FILTERED
Pid: 10623            Module: nanosleep'       Audit: NOT_FILTERED
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: epoll_wait'      Audit: 202
Pid: 10167            Module: read             Audit: 232
Pid: 10167            Module: sendmsg'         Audit: 0
Pid: 11052            Module: epoll_wait'      Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 1
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: recvmsg'         Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: poll             Audit: 202
Pid: 11052            Module: read             Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: write            Audit: 0
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: read             Audit: 1
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 23753            Module: clone            Audit: 3
Pid: 23753            Module: set_robust_list' Audit: 59
Pid: 23753            Module: close            Audit: 21
Pid: 23753            Module: dup2             Audit: 257
Pid: 23753            Module: close            Audit: 10
Pid: 23753            Module: close            Audit: 9
Pid: 23753            Module: dup2             Audit: 10
Pid: 23753            Module: close            Audit: 102
Pid: 23753            Module: close            Audit: 107
Pid: 23753            Module: dup2             Audit: 59
Pid: 23753            Module: close            Audit: 21
Pid: 23753            Module: execve           Audit: 11
Pid: 23753            Module: brk              Audit: 12
