Module Entrys: 17201            Audit Entrys: 3553            
Pid: 12628            Module: close            Audit: 9
Pid: 12628            Module: openat           Audit: 10
Pid: 12628            Module: access           Audit: 9
Pid: 12628            Module: openat           Audit: 9
Pid: 12628            Module: read             Audit: 3
Pid: 12628            Module: fstat            Audit: 257
Pid: 12628            Module: mmap             Audit: 21
Pid: 12628            Module: mprotect'        Audit: 257
Pid: 12628            Module: mmap             Audit: 0
Pid: 12628            Module: close            Audit: 5
Pid: 12628            Module: openat           Audit: 9
Pid: 12628            Module: access           Audit: 10
Pid: 12628            Module: openat           Audit: 9
Pid: 12628            Module: read             Audit: 3
Pid: 12628            Module: fstat            Audit: 257
Pid: 12628            Module: mmap             Audit: 0
Pid: 12628            Module: mprotect'        Audit: 5
Pid: 12628            Module: mmap             Audit: 9
Pid: 12628            Module: close            Audit: 10
Pid: 12628            Module: openat           Audit: 9
Pid: 12628            Module: access           Audit: 3
Pid: 12628            Module: openat           Audit: 257
Pid: 12628            Module: read             Audit: 0
Pid: 12628            Module: fstat            Audit: 5
Pid: 12628            Module: mmap             Audit: 9
Pid: 12628            Module: mprotect'        Audit: 10
Pid: 12628            Module: mmap             Audit: 9
Pid: 12628            Module: close            Audit: 3
Pid: 12628            Module: openat           Audit: 257
Pid: 12628            Module: access           Audit: 21
Pid: 12628            Module: openat           Audit: 257
Pid: 12628            Module: read             Audit: 0
Pid: 12628            Module: fstat            Audit: 5
Pid: 12628            Module: mmap             Audit: 9
Pid: 12628            Module: mprotect'        Audit: 9
Pid: 12628            Module: mmap             Audit: 10
Pid: 12628            Module: close            Audit: 9
Pid: 12628            Module: mmap             Audit: 9
Pid: 12628            Module: openat           Audit: 3
Pid: 12628            Module: access           Audit: 257
Pid: 12628            Module: openat           Audit: 21
Pid: 12628            Module: read             Audit: 257
Pid: 12628            Module: fstat            Audit: 0
Pid: 12628            Module: mmap             Audit: 5
Pid: 12628            Module: mprotect'        Audit: 9
Pid: 12628            Module: mmap             Audit: 10
Pid: 12628            Module: close            Audit: 9
Pid: 12628            Module: mmap             Audit: 9
Pid: 12628            Module: arch_prctl'      Audit: 3
Pid: 12628            Module: mprotect'        Audit: 257
Pid: 12628            Module: mprotect'        Audit: 21
Pid: 12628            Module: mprotect'        Audit: 257
Pid: 12628            Module: mprotect'        Audit: 0
Pid: 12628            Module: mprotect'        Audit: 5
Pid: 12628            Module: mprotect'        Audit: 9
Pid: 12628            Module: mprotect'        Audit: 10
Pid: 12628            Module: mprotect'        Audit: 9
Pid: 12628            Module: mprotect'        Audit: 9
Pid: 12628            Module: mprotect'        Audit: 3
Pid: 12628            Module: mprotect'        Audit: 257
Pid: 12628            Module: mprotect'        Audit: 21
Pid: 12628            Module: mprotect'        Audit: 257
Pid: 12628            Module: mprotect'        Audit: 0
Pid: 12628            Module: mprotect'        Audit: 5
Pid: 12628            Module: mprotect'        Audit: 9
Pid: 12628            Module: mprotect'        Audit: 10
Pid: 12628            Module: mprotect'        Audit: 9
Pid: 12628            Module: mprotect'        Audit: 3
Pid: 12628            Module: mprotect'        Audit: 257
Pid: 12628            Module: mprotect'        Audit: 21
Pid: 12628            Module: mprotect'        Audit: 257
Pid: 12628            Module: mprotect'        Audit: 0
Pid: 12628            Module: mprotect'        Audit: 5
Pid: 12628            Module: mprotect'        Audit: 9
Pid: 12628            Module: mprotect'        Audit: 10
Pid: 12628            Module: mprotect'        Audit: 9
Pid: 12628            Module: munmap           Audit: 3
Pid: 12628            Module: set_tid_address' Audit: 257
Pid: 12628            Module: set_robust_list' Audit: 21
Pid: 12628            Module: rt_sigaction'    Audit: 257
Pid: 12628            Module: rt_sigaction'    Audit: 0
Pid: 12628            Module: rt_sigprocmask'  Audit: 5
Pid: 12628            Module: prlimit64'       Audit: 9
Pid: 12628            Module: futex            Audit: 10
